pageid,name,revision_id
71834725,Rick James (actor),1213836084
76157000,Rosa Luís de Sousa Micolo,1246271741
59124543,Santana André Pitra,1165626399
76496943,Saíde Mingas,1251004422
75227572,Shenella Mary Shadida Govia,1241563138
39196935,Studiation Brown,825090349
1706347,Tim Hector,1227026341
866767,Wilfred Jacobs,1246340247
36172495,William Haynes-Smith,1250666577
34245468,Alberto Manuel Campos,1166331326
30075886,Alejo Castex,1231276700
56554702,Alincia Williams-Grant,1241592542
33664981,Antonio Bermejo,1225811362
6073785,Antonio Beruti,1243926512
32457882,Bernard Percival,1241564686
63021574,Carlos Corach,1227620960
72175365,Carlos de la Rosa,1209668330
77426320,David Massiah,1247632248
77426402,Dwayne George,1247631631
37675541,Dámaso Centeno,1245130520
70457778,Edmond Mansoor,1248648606
49155928,Exequiel Bustillo,1188044851
77426334,Fabian Jones,1247632282
53925600,Federico Helguera,1162056054
76609711,Germán Alfaro,1223272051
75650879,Guillermo Francos,1245178482
1370238,Harold Lovell,1241564680
9284882,Héctor Bidonde,1250713562
57444909,Héctor Toty Flores,1067754685
75306515,Jamale Pringle,1241592215
69840005,Joanne Massiah,1241592526
59327216,Joaquín Belgrano,1229623675
34245516,Joaquín Samuel de Anchorena,1227458965
77426296,Johnathan Joseph (politician),1241563151
68921848,Jorge Coscia,1227459720
34244737,Juan Agustín Augier,1217815148
75877571,Juan Alemann,1227499891
68279846,Juan Carlos Del Bello,1225784914
35019444,Juan Fugl,1148828249
62063026,Juan José Gómez Centurión,1225793565
77067103,Kelvin Simon,1241592202
77426354,Kiz Johnson,1247632301
77328102,Knacyntar Nedd,1247514093
33775919,Luis Carlos Gómez Centurión,1225793589
34269206,Luis L. Domínguez,1234469779
76905059,Lázaro Chiappe,1232135530
34116308,Manuel José García,1227616001
76610410,Marco Aurelio Avellaneda,1233010330
65315071,Mario Cafiero,1135193654
62520482,Martín Guzmán,1227515965
66270219,Melford Nicholas,1241592535
24435828,Máximo Etchecopar,1243279888
77328024,Philip Shoul,1247632342
77426239,Rawdon Turner,1247632346
74226514,Rossana Chahla,1227517224
34245355,Santiago Gallo,1039135531
77426276,Shawn Nicholas,1247632364
34237682,Silvano Bores,1225775647
33983813,Uladislao Augier,1217815124
11037532,Abel Posse,1245068036
65165279,Aldo Pignanelli,1106856167
13969711,Alejo Peyret,1138003698
71194197,Alfredo Olmedo,1226445117
37614763,Amán Rawson,1226040049
38182964,Andrias Ghukasyan,1214660728
42602703,Andrés Larroque,1248572448
38935009,Aram Grigoryan (politician),1214660921
43861613,Aram Manukyan,1214661551
43580622,Arístides Villanueva,1227361697
75181739,Ashot Arsenyan,1218601969
66679031,Carlos Kunkel,1225799546
4711836,Carlos Petroni,1199679676
44314693,Claudio Uberti,1245464700
61319752,Enrique S. Quintana,1016343362
64207179,Fernando Iglesias (Argentine politician),1217866134
59875492,Fernando Nadra,1238199017
51382743,Gevorg Ghazaryan (politician),1180063729
51382725,Gevorg Melik-Karagyozyan,1180063778
48718026,Guillermo Montenegro,1096175549
65758698,Gurgen Egiazaryan,1103745376
62954035,Hayk Chobanyan,1231768992
47716578,Hrant Maloyan,1250311867
36611677,Héctor Tizón,1222501416
75290900,Jorge Yoma,1191859791
50311956,Juan Mignaburu,1166892817
